rmse,mae,r2,fold,n_train,n_test
20.16367694437229,16.982073928694202,-1.572075015506592,1,69,28
36.51655323334111,32.843939009858445,-3.2525553832154683,2,79,18
17.107706584915015,12.811154918677238,-5.037720888678654,3,81,16
20.236829582115302,16.560582439485053,-1.1492373235391877,4,83,14
193.6949404520272,157.40583700670103,-113.34494012027899,5,76,21
