feature,importance_gain
GPC_21_X_X06_PRCP,0.0
GPC_21_X_X05_TAVG,0.0
GPC_21_X_X05_PRCP,0.0
GPC_21_X_X04_TAVG,0.0
GPC_21_X_X04_PRCP,0.0
GPC_20_X_X10_PRCP,0.0
GPC_24_X_X04_PRCP,0.0
GPC_23_X_X10_PRCP,0.0
GPC_23_X_X09_PRCP,0.0
GPC_23_X_X08_PRCP,0.0
GPC_23_X_X07_PRCP,0.0
GPC_23_X_X06_TAVG,0.0
GPC_23_X_X06_PRCP,0.0
GPC_23_X_X05_TAVG,0.0
GPC_23_X_X05_PRCP,0.0
GPC_23_X_X04_TAVG,0.0
GPC_23_X_X04_PRCP,0.0
GPC_22_X_X10_PRCP,0.0
GPC_22_X_X09_PRCP,0.0
GPC_22_X_X08_PRCP,0.0
GPC_22_X_X07_PRCP,0.0
GPC_22_X_X06_TAVG,0.0
GPC_25_X_X07_PRCP,0.0
GPC_25_X_X06_TAVG,0.0
GPC_25_X_X06_PRCP,0.0
GPC_25_X_X05_TAVG,0.0
GPC_25_X_X05_PRCP,0.0
GPC_25_X_X04_TAVG,0.0
GPC_25_X_X04_PRCP,0.0
GPC_24_X_X10_PRCP,0.0
GPC_24_X_X09_PRCP,0.0
GPC_24_X_X08_PRCP,0.0
GPC_24_X_X07_PRCP,0.0
GPC_24_X_X06_TAVG,0.0
GPC_24_X_X06_PRCP,0.0
GPC_24_X_X05_TAVG,0.0
GPC_24_X_X05_PRCP,0.0
GPC_24_X_X04_TAVG,0.0
GPC_27_X_X05_PRCP,0.0
GPC_27_X_X04_TAVG,0.0
GPC_27_X_X04_PRCP,0.0
GPC_26_X_X10_PRCP,0.0
GPC_26_X_X09_PRCP,0.0
GPC_26_X_X08_PRCP,0.0
GPC_26_X_X07_PRCP,0.0
GPC_26_X_X06_TAVG,0.0
GPC_26_X_X06_PRCP,0.0
GPC_26_X_X05_TAVG,0.0
GPC_26_X_X05_PRCP,0.0
GPC_26_X_X04_TAVG,0.0
GPC_26_X_X04_PRCP,0.0
GPC_25_X_X10_PRCP,0.0
GPC_25_X_X09_PRCP,0.0
GPC_25_X_X08_PRCP,0.0
GPC_28_X_X09_PRCP,0.0
GPC_28_X_X08_PRCP,0.0
GPC_28_X_X07_PRCP,0.0
GPC_28_X_X06_TAVG,0.0
GPC_28_X_X06_PRCP,0.0
GPC_28_X_X05_TAVG,0.0
GPC_28_X_X05_PRCP,0.0
GPC_28_X_X04_TAVG,0.0
GPC_28_X_X04_PRCP,0.0
GPC_27_X_X10_PRCP,0.0
GPC_27_X_X09_PRCP,0.0
GPC_27_X_X08_PRCP,0.0
GPC_27_X_X07_PRCP,0.0
GPC_27_X_X06_TAVG,0.0
GPC_27_X_X06_PRCP,0.0
GPC_27_X_X05_TAVG,0.0
GPC_2_X_X06_PRCP,0.0
GPC_2_X_X05_TAVG,0.0
GPC_2_X_X05_PRCP,0.0
GPC_2_X_X04_TAVG,0.0
GPC_2_X_X04_PRCP,0.0
GPC_29_X_X10_PRCP,0.0
GPC_29_X_X09_PRCP,0.0
GPC_29_X_X08_PRCP,0.0
GPC_29_X_X07_PRCP,0.0
GPC_29_X_X06_TAVG,0.0
GPC_29_X_X06_PRCP,0.0
GPC_29_X_X05_TAVG,0.0
GPC_29_X_X05_PRCP,0.0
GPC_29_X_X04_TAVG,0.0
