feature,importance_mean,importance_std,bucket
YLD_BE,1.9966099823542478,0.009244409067678459,Other
GPC_45,2.7843914647129876e-05,3.8045305467912353e-06,Genetic_PCA
past_yld_mean,2.7624927572555967e-05,1.330991199787353e-06,Past_pheno
GPC_38,2.6756466555866165e-05,2.3364848826898567e-06,Genetic_PCA
GPC_3,1.7077549513500044e-05,2.196599458709889e-06,Genetic_PCA
GPC_43,1.583918177652244e-05,2.12348728906192e-06,Genetic_PCA
GPC_30,1.0855910680440672e-05,1.158848892144877e-06,Genetic_PCA
GPC_41,9.70821408484701e-06,1.6246802728073754e-06,Genetic_PCA
GXE__GPC_5__x__X10_HTDD,8.641253786112469e-06,1.2895022597013847e-06,GxE_interaction
GPC_33,7.704519340812066e-06,5.375705273506646e-07,Genetic_PCA
GPC_7,7.462580244654848e-06,7.493687610616522e-07,Genetic_PCA
GPC_18,7.087448696008191e-06,1.1456592762702871e-06,Genetic_PCA
GPC_27,7.0237658284288965e-06,1.2672938009529899e-06,Genetic_PCA
GXE__GPC_5__x__X08_PRCP,6.65168981904829e-06,1.1305525592820584e-06,GxE_interaction
GXE__GPC_7__x__X09_CLDD,6.516705196701888e-06,6.739043346744816e-07,GxE_interaction
GPC_22,6.156483004593483e-06,1.0156213318784484e-06,Genetic_PCA
GPC_32,6.020967584485782e-06,1.0296816528697605e-06,Genetic_PCA
GPC_5,6.009204510393218e-06,1.0736488082892264e-06,Genetic_PCA
GPC_23,5.9690377054777425e-06,1.107838322666881e-06,Genetic_PCA
GPC_24,5.697687034067478e-06,7.5564617238095e-07,Genetic_PCA
