rmse,mae,r2,env_id,n
9.445362348362114e-06,7.234700520695826e-06,0.9999999999997521,GASM_2005,42
9.484730283403568e-06,8.048221983295693e-06,0.9999999999990553,MOBU_2002,29
9.56586617781523e-06,7.810058594373004e-06,0.9999999999997932,MIBR_2001,25
9.577116614697995e-06,6.011038115530303e-06,0.9999999999989542,WIGR_2002,33
9.63230738715792e-06,7.685271785722878e-06,0.9999999999995989,OHPT_2001,71
9.661125559669161e-06,7.965087887621772e-06,0.9999999999993963,ILOR_2003,24
9.668906064174057e-06,8.155293368979389e-06,0.9999999999997222,MNWA_2004,49
9.76190000068127e-06,8.016357421070098e-06,0.9999999999994003,NCFV_2007,40
9.810765754347448e-06,8.490545098993607e-06,0.9999999999996247,NEPM_2007,22
1.0006229428573501e-05,8.313860212589524e-06,0.9999999999992798,INFA_2001,28
1.0102383500690095e-05,7.763671875851389e-06,0.9999999999990027,SDHU_2007,18
1.0194970062948922e-05,8.102139560151045e-06,0.9999999999998,NEST_2007,66
1.0244538170548975e-05,7.819862970239098e-06,0.999999999999707,IAAM_2003,63
1.0352197419926393e-05,8.42483108103069e-06,0.9999999999997836,ILWB_2006,74
1.041225679723329e-05,8.69473544249579e-06,0.9999999999997374,KSSU_2002,22
1.0505459727037631e-05,8.180454801934697e-06,0.9999999999997505,MNBE_2007,28
1.0682957323058895e-05,7.914775125841146e-06,0.9999999999997911,MIBL_2001,37
1.0701353030174338e-05,8.630593039139388e-06,0.9999999999997149,SDTR_2004,55
1.0705837092308405e-05,8.870656868141755e-06,0.9999999999997459,ILAB_2007,38
1.0809252670076823e-05,9.033203125768367e-06,0.9999999999997315,TXDU_2006,29
1.0819982032920019e-05,8.857973160876363e-06,0.9999999999997393,ILIN_2007,62
1.0872716730735754e-05,8.826793324108925e-06,0.9999999999997324,MNBI_2005,66
1.0921624220497741e-05,8.52114194325528e-06,0.999999999999769,NEGO_2005,77
1.1039742311252867e-05,9.244452582003583e-06,0.9999999999995045,IABP_2004,72
1.1119992323343769e-05,9.151785713714032e-06,0.9999999999997308,ILOR_2007,35
1.1280809642213652e-05,9.324322325217812e-06,0.999999999999669,IAGR_2003,66
1.1289520813825838e-05,9.568832860026939e-06,0.9999999999994136,MNFA_2002,66
1.136189648176663e-05,9.457058375911882e-06,0.9999999999996007,ONMR_2001,36
1.1435670833385247e-05,9.189576740948413e-06,0.9999999999994001,IAHL_2005,79
1.1524744997765335e-05,9.252211628683975e-06,0.9999999999996069,WILR_2001,34
1.1578169412831545e-05,6.011038115530303e-06,0.9999999999994774,IAWL_2001,33
1.160452311700346e-05,8.978841148442976e-06,0.9999999999995676,MIBL_2003,75
1.164696482473673e-05,9.757995605319536e-06,0.9999999999994964,MNOW_2001,64
1.1652558633811277e-05,1.0135091148792223e-05,0.999999999999673,NEFU_2006,15
1.1836161358581864e-05,1.017817744489683e-05,0.9999999999992728,IAPR_2001,54
1.1941907612228563e-05,9.324048912698133e-06,0.9999999999994054,MNDA_2004,69
1.1975271172446033e-05,9.749348959391884e-06,0.99999999999963,NEHM_2001,90
1.2005181168276296e-05,9.753417966880288e-06,0.9999999999995659,KSHO_2004,26
1.2088205462049875e-05,1.0313456766998632e-05,0.9999999999996104,MOCH_2003,74
1.2124037277508316e-05,9.91361177791707e-06,0.9999999999994064,ILCE_2007,65
1.2243946585535173e-05,1.0052584133728278e-05,0.9999999999993157,ILML_2007,65
1.2248481166827067e-05,1.0054096424177691e-05,0.9999999999997053,IASP_2003,57
1.2282260111635309e-05,9.167480468720766e-06,0.9999999999995627,SDPL_2007,21
1.2302743750222227e-05,9.653253424911072e-06,0.9999999999994049,MNWA_2002,73
1.2315393596761437e-05,1.0188802083053747e-05,0.9999999999997033,NEAL_2003,27
1.2329772711254703e-05,8.98749168817766e-06,0.9999999999993746,NEYO_2004,47
1.2363891414670489e-05,1.0362659802415857e-05,0.9999999999989271,MNLA_2005,22
1.2373201318789606e-05,1.0217462067143773e-05,0.9999999999996001,IAGG_2005,69
1.2434739669611566e-05,1.0531180246126885e-05,0.9999999999995572,MNEL_2002,70
1.2628116186898437e-05,1.0980468750858563e-05,0.9999999999997261,OHWC_2007,25
1.2678318698056733e-05,1.0806551846130649e-05,0.9999999999994564,MNHA_2004,33
1.2687430149586425e-05,1.0243873073125553e-05,0.9999999999994923,SDEP_2003,73
1.2726452690799046e-05,1.073417094126758e-05,0.9999999999997158,NEST_2003,67
1.2944523206914525e-05,1.0499108356043507e-05,0.9999999999996319,MIBL_2005,46
1.2994634465918664e-05,9.848795572414323e-06,0.9999999999996888,ILBE_2004,75
1.3017532565983796e-05,1.0538552024415408e-05,0.9999999999995672,MNLE_2007,44
1.3103904317519378e-05,1.1068647336214664e-05,0.999999999998967,IAWA_2005,78
1.3157881881676139e-05,1.0181439111398677e-05,0.9999999999996533,MNBU_2005,63
1.3165539935334058e-05,1.1211219200591726e-05,0.9999999999993255,INFR_2004,52
1.326784945404344e-05,1.0257844002630404e-05,0.9999999999999286,TNUC_2002,62
1.330554740458373e-05,1.1293199326800618e-05,0.9999999999997017,NEHE_2001,72
1.3318931688532907e-05,1.1287913602419554e-05,0.9999999999993975,IAPL_2002,17
1.3426940076273624e-05,9.886094390043074e-06,0.9999999999997505,ILBE_2007,61
1.3446761524578437e-05,1.076788651151841e-05,0.9999999999995903,ONST_2002,19
1.3479977008664986e-05,1.1201359675702895e-05,0.9999999999992605,NEWC_2006,26
1.3553958549892744e-05,1.0611364975808479e-05,0.9999999999996521,NDBA_2003,53
1.368250329663392e-05,1.1396340763734342e-05,0.999999999999352,IASA_2005,68
1.376737821320158e-05,1.0610198974525531e-05,0.9999999999995366,KSGC_2004,64
1.3785238434375555e-05,1.0962314291873554e-05,0.9999999999995064,MOBU_2001,61
1.3842666770333913e-05,1.2114923650456562e-05,0.9999999999989809,OHPT_2006,22
1.3920812756335395e-05,1.1814563680552896e-05,0.9999999999995419,OHGE_2004,53
1.3946045436693462e-05,9.142423933601668e-06,0.9999999999996826,INHL_2007,19
1.400542488598276e-05,1.1737419576718366e-05,0.9999999999994974,OHDE_2005,68
1.4044313560689545e-05,1.155881720071108e-05,0.9999999999996475,IAHU_2003,59
1.40823235148315e-05,1.24255371119375e-05,0.9999999999989118,ILOR_2006,20
1.4083401725122227e-05,1.0942551187126966e-05,0.999999999999712,MNWA_2006,58
1.4178203150412153e-05,1.1675187653504598e-05,0.9999999999993893,NESH_2006,51
1.4235005950183934e-05,1.1879848425427182e-05,0.99999999999964,MNBI_2003,71
1.4246425763060347e-05,1.2111253002882013e-05,0.9999999999987894,SDHA_2006,26
1.4333705594292477e-05,1.1246066622279446e-05,0.9999999999994648,ONLO_2003,54
1.4369903900419007e-05,1.186161041233369e-05,0.999999999999455,MOMR_2005,64
1.4430709729955674e-05,1.384006076124125e-05,0.9999999999995117,ILRI_2005,9
1.4491679064391744e-05,1.1420898437625675e-05,0.9999999999990455,ILTH_2006,55
1.4716873162358422e-05,1.2200055804255173e-05,0.9999999999987684,NEDA_2002,70
1.4822295478964275e-05,1.1642957091945432e-05,0.999999999999321,ILSO_2003,67
1.4888045208981878e-05,1.2296236478120521e-05,0.9999999999996257,NCPA_2004,26
1.503666377903505e-05,1.2404563210049507e-05,0.9999999999993028,INFB_2006,55
1.5074437616425988e-05,1.256019329003203e-05,0.9999999999994097,MNSV_2004,58
1.5083987358732381e-05,1.3367377386133387e-05,0.9999999999993331,NEMI_2007,36
1.5124954510437063e-05,1.2145011656146622e-05,0.9999999999996837,NCMO_2002,62
1.5217066530690357e-05,1.248214156653923e-05,0.9999999999997543,NCPA_2003,54
1.5266459505275148e-05,1.2817382812030816e-05,0.9999999999989457,IACN_2004,63
1.5351940329139497e-05,1.2751261390775426e-05,0.9999999999993037,NEDA_2004,72
1.5371265142398914e-05,1.2438964841976485e-05,0.9999999999994783,MIVI_2001,20
1.5382538233810012e-05,1.3248291015581041e-05,0.9999999999990137,ILIN_2005,60
1.5470014872838864e-05,1.1405123195319133e-05,0.999999999999287,IAWA_2001,65
1.552238821214356e-05,1.2597312390048052e-05,0.9999999999995735,MNBI_2001,71
1.554033716623841e-05,1.2848498773992641e-05,0.9999999999994728,INWI_2005,51
1.5643396729222776e-05,1.2078646955944414e-05,0.9999999999995649,MOHA_2001,58
1.5680131602679847e-05,1.4052327469945189e-05,0.9999999999997496,OHPT_2007,12
1.5846752605505227e-05,1.3014943976342788e-05,0.99999999999944,MNBI_2007,76
1.5923824988132343e-05,1.3153076172519226e-05,0.9999999999992719,IALI_2006,60
1.5935271842552872e-05,1.268154046476283e-05,0.9999999999992808,ILPO_2004,78
1.6022296700720328e-05,1.4877717391122449e-05,0.9999999999985097,ILNH_2005,23
1.6037068085364575e-05,1.3096597159269998e-05,0.9999999999997088,ILCC_2006,71
1.6068027643291975e-05,1.5183105468471088e-05,0.9999999999978723,KYHO_2003,30
1.6085407182599117e-05,1.459021935068869e-05,0.99999999999922,INVI_2001,65
1.6137523487525238e-05,1.3753051758650751e-05,0.9999999999994572,MNOL_2003,60
1.6153533672055284e-05,1.4047983530890878e-05,0.9999999999990631,WIAR_2001,74
1.6156551585492805e-05,1.4459348193440746e-05,0.9999999999985822,IASG_2001,51
1.624465926432751e-05,1.4434711003946948e-05,0.9999999999992008,ILMR_2006,59
1.6273973121293458e-05,1.4234302662588208e-05,0.9999999999991893,VACC_2004,54
1.6285312504398983e-05,1.308663504460128e-05,0.9999999999989162,MNKE_2003,35
1.6291748758470133e-05,1.481567382874971e-05,0.9999999999983925,ILPP_2007,80
1.6301223601942858e-05,1.3233928915511054e-05,0.9999999999996076,IAJE_2004,81
1.6354698029066338e-05,1.3502163356172838e-05,0.9999999999997123,GALE_2007,72
1.640067206832273e-05,1.3100934709850013e-05,0.9999999999994998,ILMN_2005,70
1.6446437452910323e-05,1.5028733473015494e-05,0.9999999999982974,DESE_2001,26
1.6490130308537665e-05,1.3690382433556043e-05,0.9999999999996128,ILSO_2006,62
1.6672424759601765e-05,1.458389073266903e-05,0.999999999999418,MOMR_2004,73
1.672867799064289e-05,1.4145132213299734e-05,0.9999999999986581,NEAT_2005,26
1.6770342461164807e-05,1.3191538008704305e-05,0.9999999999993374,ILRS_2003,63
1.6832386548922503e-05,1.4179845011092826e-05,0.9999999999993531,ARPI_2002,31
1.7037084739056693e-05,1.4506138393244328e-05,0.9999999999996497,ILSO_2004,70
1.703916173457143e-05,1.4983771829356423e-05,0.9999999999987186,INFR_2005,68
1.7054340034149326e-05,1.2308475890249767e-05,0.9999999999996374,NECO_2004,58
