bucket,importance_mean
Genetic_PCA,0.00016534083235087983
GxE_interaction,1.452412761533406e-05
Other,2.0102572881118066
Past_pheno,5.291663975393046e-06
Soil,4.938854455183162e-07
Weather,3.295115509560631e-06
