rmse,mae,r2,env_id,n
24.737469086535704,18.831820850840188,-0.17921336608314364,ARMA_2003,65
41.93099304214781,36.573705417089755,-1.5780386203286447,ARPI_2001,37
20.01645073599726,15.887080972888848,0.3321503629462814,ARPI_2002,59
30.565613174530164,25.365318708547413,-0.7735387429165885,ARPI_2003,67
32.978627724949895,29.582661051927577,-2.285059643175243,DESE_2002,63
52.41248930722253,49.90252603831441,-7.038949887649492,DESE_2003,49
38.73783152682385,36.31473420525964,-4.792962745788544,GACL_2001,67
34.01311458020257,29.559253384135857,-2.4189374905368575,GACL_2002,54
90.08965788579388,88.64631447895896,-32.89611778346477,GACL_2003,56
21.612070000093627,15.33629122108244,0.03358576270890201,GALE_2001,58
14.918854146650364,11.906993205926158,0.5067947785299463,GALE_2002,58
67.63089093475494,66.05319452882587,-19.998184726274015,GAMY_2002,60
35.00091389194734,27.901582047902902,-1.1320580613133613,GAMY_2003,69
42.58141928731631,38.65614746698256,-2.622879393973188,GASF_2003,63
29.77711707416663,23.12587754823085,-0.3417799896182865,GAWI_2001,63
19.22240610624238,15.778386040337363,0.3360724657612987,IABR_2003,52
13.995516635256907,11.425152887577568,-0.5165455306419031,IADA_2001,55
15.034390498515325,12.433843506010716,-0.11548141932852385,IADA_2003,58
82.75487777727551,79.38758545818307,-12.184081106906744,IADV_2001,58
21.863037836823164,18.896630606909504,-0.23539687303741474,IAFO_2001,66
27.17215439590165,24.679233444569572,-4.685085677642063,IAFO_2003,62
20.022287000318936,15.856331792779988,0.192916744495772,IAGR_2003,61
21.94563910923,19.043957014698695,-0.6849756404976062,IAJE_2003,57
76.39998819061896,73.91604055175885,-13.23009998163109,IANH_2003,51
39.76521798658028,37.04646060100749,-5.708766992502735,IANL_2001,66
20.041561907013428,16.193944462394533,-0.8181750060364583,IAOT_2001,72
13.478457873076465,11.14279524381208,0.1201086139186811,IAOT_2002,51
16.753064586920043,13.4876213756072,-0.6881870527818073,IAPR_2001,61
14.742902700426882,11.772509870993819,-0.18760716990403536,IAPR_2003,60
15.6265316645082,12.527869946040454,-0.20570900035707873,IARI_2003,65
86.8635233084393,85.8853195011194,-59.569484176389736,IARO_2001,59
20.939467113752738,16.31721035328362,-0.3217648787356786,IASP_2001,52
39.073864549689816,35.67442155177124,-4.318665373999402,IASP_2003,56
28.647869037849954,26.27533284261052,-3.738016094167018,IAWA_2002,61
16.324319203274854,13.036945346621547,-0.011831186023882001,IAWI_2001,66
17.62275409192923,13.394765217460373,0.10196172426127326,IAWS_2003,54
41.95503216806927,37.801214703229924,-5.972469624449861,ILBE_2002,64
20.008378111833817,16.327679300697362,-0.7210219002173592,ILBM_2001,67
44.41358601896223,39.78938501654765,-1.3656521628652247,ILBM_2003,51
33.503887783201975,29.01922196144042,-1.4680347318397056,ILHA_2001,61
15.335937567505317,12.774675585386403,-0.44145619898306787,ILHO_2002,68
40.17148327805865,37.98931728468279,-5.387509973402575,ILIN_2002,61
60.43057918421027,59.12617932308668,-11.467404280103887,ILMN_2002,56
18.81294856144308,15.380440115160061,-1.7541926550583553,ILMN_2003,65
24.083619796339335,19.255499900294993,-1.1519741024727828,ILNH_2002,55
13.459861315721467,11.338390654882904,0.1102765712708621,ILOB_2003,62
42.38801948467059,39.21679972110453,-5.544815404805806,ILPA_2003,58
23.70373069535819,20.447146155134423,-2.490942034483797,ILPG_2003,54
30.199674881471154,27.511596287591946,-3.5918626017869473,ILPP_2002,63
18.2459144687114,15.11130918946773,-0.12851155359783828,ILPP_2003,66
18.254507779113133,14.152810718101005,-0.03989740841000855,ILRI_2002,52
16.654466719560748,12.989798736935098,-0.07828070795900066,ILSO_2002,67
10.874913944907803,8.958989775869387,0.11311979956685625,ILST_2003,57
16.93297231944037,12.310832768128641,0.24630136135267333,ILTH_2002,62
22.74823849070185,19.515825975159885,-1.1397980635209222,ILTO_2002,53
35.77505065369885,33.39902522043615,-5.2909109355936845,ILTO_2003,49
26.678043189762157,23.393843255910664,-1.475351749942122,ILWA_2003,54
11.074760301375978,8.824140467588554,0.5913134960843167,INBO_2002,65
19.083192203721932,14.984339853567413,0.32986324612968043,INBO_2003,55
46.49503291311352,42.92621714736951,-3.216221930214198,INEL_2002,54
16.15453238557428,13.19623657181737,0.054307207058434726,INEL_2003,56
17.003661290564924,13.918269222486929,0.010732473459804992,INFR_2002,56
45.72409500186912,42.64867270389422,-6.581441515880058,INNE_2001,45
29.41335199511207,25.487692270125194,-2.187613108236314,INNE_2002,64
21.89701676024268,18.97062315852691,0.12534336553714598,INNE_2003,63
50.56593801803123,47.828376026351634,-14.978424794662068,INOX_2002,64
38.22403080446808,35.498574057939315,-4.149549861584245,INOX_2003,62
30.35614559674681,26.118976528962026,-2.2786360389099585,INPO_2002,60
22.074740385685143,18.469008619741174,-0.17831487029668946,INRO_2003,68
16.45361056357855,13.168502656671253,-0.6676810918143343,INVI_2002,63
45.99166626369316,40.83244669290086,-3.652706560231864,KSGC_2003,67
34.07700535353659,31.683046326063778,-4.591414747439883,KSHL_2001,55
53.91541880545285,49.57727065286512,-3.977620285774024,KYST_2002,65
26.91783109709515,21.80305463423565,-0.8765058304538909,KYST_2003,67
50.391528645535935,47.52302141254083,-5.76586991886572,MCHE_2003,67
34.412246608250896,31.30024078098917,-2.5391827809111316,MDGA_2002,71
45.942152421786275,38.78680653922307,-2.2380712880732685,MDGA_2003,47
18.86495205788863,15.005782955268955,-0.18645683499752508,MDLI_2003,67
47.25369212466025,43.51618886113179,-5.046262741531409,MIWI_2002,63
18.407163515282626,13.500707938204998,-0.2864870376127062,MNBE_2003,56
12.370343141497132,9.751361539121222,-0.042382343913964116,MNBI_2002,68
37.496405945004284,32.587336205784105,-1.9482906650784004,MNBU_2003,65
13.26320522219154,10.780427697708586,-0.4718377482161553,MNEL_2002,52
48.835128560054606,47.4299454281098,-14.348546463988365,MNFA_2002,69
53.680843898016356,49.04078872602517,-4.143929573388156,MNLE_2003,64
15.890987279668773,12.822540389736572,-0.19783397308958617,MNMA_2002,58
18.021527010222062,14.476889040800847,-0.026092492540989776,MNMO_2003,57
13.861121319999613,11.349642814853365,-0.46099823955996144,MNOL_2002,50
41.66523720958831,39.230085413338514,-5.685277820834676,MNOW_2001,54
10.902271685813437,9.055122773040646,-0.002055599823294063,MNOW_2002,52
18.800959090707785,15.209239449289155,0.15220315791896488,MNOW_2003,57
35.020039285523204,33.125448719135655,-6.668045338632445,MNPR_2002,58
13.939493326556871,11.429786995838754,0.3924290515504719,MNWA_2002,62
15.067082749401605,11.215491821198524,0.09645116433467282,MNWA_2003,55
68.1300126431028,67.03024846487114,-36.941140831805924,MOBU_2002,60
40.33933615803502,33.737795092270325,-0.639947866683916,MOCG_2001,53
45.60068650835699,39.83819779888732,-2.5167196006944716,MOCG_2002,52
74.15774325650156,72.15577315625949,-8.377111036505669,MOCG_2003,56
70.7034580937238,67.03656080113159,-6.639123181472923,MOCH_2003,63
18.51320899205519,14.580753248006912,-0.18172160691471118,MOHA_2002,60
32.57667806080307,28.66089912504913,-2.272571201964154,MOMI_2001,59
23.768265927664466,19.592841536298405,-0.9191769525436011,MOMR_2002,57
32.92333284130176,30.855243447497237,-6.22863583604801,MOMR_2003,56
36.77738631689496,34.73479679057997,-7.08423568589305,MOSC_2002,51
38.93973999077047,32.70924190330138,-1.3594986979391401,NCMO_2002,61
17.083263678926695,13.202994174677983,0.25405444501730046,NCMO_2003,62
15.752881018275756,12.62110093130613,-0.28109269269052484,NCPA_2001,59
18.097324493480812,14.18743096102555,-0.35432600667810865,NCPA_2002,63
48.13843979382191,42.16997447722583,-1.006041285602718,NCPA_2003,57
28.01237812745925,23.650227593527084,-0.22589545567249214,NCWA_2002,64
28.175957330718138,25.43448924096955,-1.775666928546448,NCWA_2003,58
26.039724692066798,19.89321373123893,-0.5998416392736845,NEBY_2001,63
17.243057071088423,14.304986249161121,0.1777164886324557,NECC_2001,60
35.51286550547469,30.180314190970893,-1.2596275437027136,NECO_2001,52
25.355804630402524,24.358983573868453,-9.29773371485902,NEDA_2001,53
48.0518188238932,45.773895296803204,-6.639272660621553,NEDA_2003,64
30.553720812035127,25.614791339760753,-1.557498927099175,NEDC_2001,59
38.0882044783929,31.836177037573737,-3.7551755472207367,NEHM_2001,62
52.91454166744552,48.435835922832794,-5.452702132353058,NEHM_2003,57
14.234646323295499,11.926340693321924,-0.10065819184004043,NEKE_2001,58
20.295826877093155,16.404458591111137,-0.45749046110510405,NEPL_2001,69
36.05386782059664,33.210860808997886,-4.893540037095932,NEPO_2003,59
13.010267101259497,10.072305717840013,-0.085555637113502,OHDE_2002,64
38.90019923148453,36.915709797659915,-6.616949109287647,OHDE_2003,55
20.177110156955777,16.649041412664726,-0.7495718680746821,OHGR_2003,63
15.560470910438081,11.98283519956876,-0.5543583286654208,OHPC_2003,56
34.503821997827124,30.380795237140955,-2.0834145512349305,OHPT_2002,54
23.92654433922527,18.35994886799,-0.02544054167674825,OHPT_2003,61
34.06999129423076,28.48508361014349,-0.944346739810382,TNGR_2002,45
11.316927799109497,8.56765749640641,0.627865114964838,TNUC_2001,67
34.83566914445024,29.001233952669672,0.5191830887188591,TNUC_2002,68
53.303218420393634,50.30924475844509,-5.803145378482167,TNUC_2003,52
17.096821620535884,14.494299993144184,-0.5610761074676267,WIAR_2002,59
26.738980105155928,21.472749990740507,-0.4266724739036625,WIPL_2002,57
36.384746475457604,27.063557284722283,-0.602708541031941,WIWA_2002,55
